,name,rating,genre,year,released,director,writer,star,country,budget,gross,company,runtime,trixbudget,success
0,The Shining,R,Drama,1980,June,Stanley Kubrick,Stephen King,Jack Nicholson,United Kingdom,19000000.0,46998772.0,Warner Bros.,146.0,8998772.0,1
1,The Blue Lagoon,R,Adventure,1980,July,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,United States,4500000.0,58853106.0,Columbia Pictures,104.0,49853106.0,1
2,Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,June,Irvin Kershner,Leigh Brackett,Mark Hamill,United States,18000000.0,538375067.0,Lucasfilm,124.0,502375067.0,1
3,Airplane!,PG,Comedy,1980,July,Jim Abrahams,Jim Abrahams,Robert Hays,United States,3500000.0,83453539.0,Paramount Pictures,88.0,76453539.0,1
4,Caddyshack,R,Comedy,1980,July,Harold Ramis,Brian Doyle-Murray,Chevy Chase,United States,6000000.0,39846344.0,Orion Pictures,98.0,27846344.0,1
5,Friday the 13th,R,Horror,1980,May,Sean S. Cunningham,Victor Miller,Betsy Palmer,United States,550000.0,39754601.0,Paramount Pictures,95.0,38654601.0,1
6,The Blues Brothers,R,Action,1980,June,John Landis,Dan Aykroyd,John Belushi,United States,27000000.0,115229890.0,Universal Pictures,133.0,61229890.0,1
8,Superman II,PG,Action,1980,June,Richard Lester,Jerry Siegel,Gene Hackman,United States,54000000.0,108185706.0,Dovemead Films,127.0,185706.0,1
10,Any Which Way You Can,PG,Action,1980,December,Buddy Van Horn,Stanford Sherman,Clint Eastwood,United States,15000000.0,70687344.0,The Malpaso Company,116.0,40687344.0,1
11,The Gods Must Be Crazy,PG,Adventure,1980,October,Jamie Uys,Jamie Uys,N!xau,South Africa,5000000.0,30031783.0,C.A.T. Films,109.0,20031783.0,1
12,Popeye,PG,Adventure,1980,December,Robert Altman,Jules Feiffer,Robin Williams,United States,20000000.0,49823037.0,Paramount Pictures,114.0,9823037.0,1
13,Ordinary People,R,Drama,1980,September,Robert Redford,Judith Guest,Donald Sutherland,United States,6000000.0,54766923.0,Paramount Pictures,124.0,42766923.0,1
14,Dressed to Kill,R,Crime,1980,July,Brian De Palma,Brian De Palma,Michael Caine,United States,6500000.0,31899000.0,Filmways Pictures,104.0,18899000.0,1
17,9 to 5,PG,Comedy,1980,December,Colin Higgins,Patricia Resnick,Jane Fonda,United States,10000000.0,103300686.0,IPC Films,109.0,83300686.0,1
18,The Fog,R,Horror,1980,February,John Carpenter,John Carpenter,Adrienne Barbeau,United States,1000000.0,21448782.0,AVCO Embassy Pictures,89.0,19448782.0,1
28,Brubaker,R,Crime,1980,June,Stuart Rosenberg,W.D. Richter,Robert Redford,United States,9000000.0,37121708.0,Twentieth Century Fox,131.0,19121708.0,1
29,American Gigolo,R,Crime,1980,February,Paul Schrader,Paul Schrader,Richard Gere,United States,4800000.0,22743674.0,Paramount Pictures,117.0,13143674.0,1
35,Private Benjamin,R,Comedy,1980,October,Howard Zieff,Nancy Meyers,Goldie Hawn,United States,10000000.0,69847348.0,Warner Bros.,109.0,49847348.0,1
36,The Hollywood Knights,R,Comedy,1980,May,Floyd Mutrux,Floyd Mutrux,Tony Danza,United States,4000000.0,10000000.0,PolyGram Filmed Entertainment,91.0,2000000.0,1
37,Motel Hell,R,Comedy,1980,October,Kevin Connor,Robert Jaffe,Rory Calhoun,United States,3000000.0,6342668.0,Camp Hill,101.0,342668.0,1
42,The Stunt Man,R,Action,1980,June,Richard Rush,Lawrence B. Marcus,Peter O'Toole,United States,3500000.0,7063886.0,Melvin Simon Productions,131.0,63886.0,1
53,Bronco Billy,PG,Action,1980,June,Clint Eastwood,Dennis Hackin,Clint Eastwood,United States,6500000.0,24265659.0,Warner Bros.,116.0,11265659.0,1
58,The Octagon,R,Action,1980,August,Eric Karson,Leigh Chapman,Chuck Norris,United States,4000000.0,18971000.0,American Cinema Productions,103.0,10971000.0,1
92,Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,June,Steven Spielberg,Lawrence Kasdan,Harrison Ford,United States,18000000.0,389925971.0,Paramount Pictures,115.0,353925971.0,1
94,An American Werewolf in London,R,Comedy,1981,August,John Landis,John Landis,David Naughton,United Kingdom,10000000.0,30669378.0,Polygram Pictures,97.0,10669378.0,1
95,Escape from New York,R,Action,1981,July,John Carpenter,John Carpenter,Kurt Russell,United States,6000000.0,25244626.0,AVCO Embassy Pictures,99.0,13244626.0,1
96,The Evil Dead,NC-17,Horror,1981,April,Sam Raimi,Sam Raimi,Bruce Campbell,United States,350000.0,2956630.0,Renaissance Pictures,85.0,2256630.0,1
97,Porky's,R,Comedy,1981,March,Bob Clark,Bob Clark,Dan Monahan,Canada,2500000.0,111289673.0,Astral Bellevue Pathé,94.0,106289673.0,1
99,Clash of the Titans,PG,Action,1981,June,Desmond Davis,Beverley Cross,Laurence Olivier,United Kingdom,15000000.0,41092328.0,Charles H. Schneer Productions,118.0,11092328.0,1
100,Excalibur,R,Adventure,1981,April,John Boorman,Thomas Malory,Nigel Terry,United Kingdom,11000000.0,34971136.0,Cinema '84,140.0,12971136.0,1
101,Mad Max 2,R,Action,1981,May,George Miller,Terry Hayes,Mel Gibson,Australia,3000000.0,23668369.0,Kennedy Miller Productions,96.0,17668369.0,1
103,Stripes,R,Comedy,1981,June,Ivan Reitman,Len Blum,Bill Murray,United States,10000000.0,85297000.0,Columbia Pictures,106.0,65297000.0,1
105,The Cannonball Run,PG,Action,1981,June,Hal Needham,Brock Yates,Burt Reynolds,United States,18000000.0,72179579.0,Golden Harvest Company,95.0,36179579.0,1
106,Thief,R,Action,1981,March,Michael Mann,Frank Hohimer,James Caan,United States,5500000.0,11492915.0,Mann/Caan Productions,123.0,492915.0,1
